id,title,year,rating,votes
#241,The Battle of Algiers,1966,8.1,74000
#242,The Handmaiden,2016,8.1,196000
#243,Network,1976,8.1,183000
#244,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,95000
#245,Gangs of Wasseypur,2012,8.2,112000
#246,The Grapes of Wrath,1940,8.1,107000
#247,Drishyam,2015,8.2,106000
#248,To Be or Not to Be,1942,8.1,49000
#249,Autumn Sonata,1978,8.1,41000
#250,Andhadhun,2018,8.2,113000
